,"""Source Port""","""Destination Port""","""NAT Source Port""","""NAT Destination Port""",Bytes,"""Bytes Sent""","""Bytes Received""",Packets,"""Elapsed Time (sec)""",pkts_sent,pkts_received
0,57222,53,54587,53,177,94,83,2,30,1,1
1,56258,3389,56258,3389,4768,1600,3168,19,17,10,9
2,6881,50321,43265,50321,238,118,120,2,1199,1,1
3,50553,3389,50553,3389,3327,1438,1889,15,17,8,7
4,50002,443,45848,443,25358,6778,18580,31,16,13,18
5,51465,443,39975,443,3961,1595,2366,21,16,12,9
6,60513,47094,45469,47094,320,140,180,6,7,3,3
7,50049,443,21285,443,7912,3269,4643,23,96,12,11
8,52244,58774,2211,58774,70,70,0,1,5,1,0
9,50627,443,16215,443,8256,1674,6582,31,75,15,16
10,43676,80,45378,80,696,378,318,12,35,7,5
11,52190,443,16680,443,7942,870,7072,22,15,10,12
12,50690,80,20479,80,4805,3639,1166,16,31,9,7
13,55597,53,45448,53,168,86,82,2,30,1,1
14,49164,443,45916,443,7292,950,6342,19,75,9,10
15,36887,443,63451,443,10922,2532,8390,27,28,13,14
16,1939,53,33288,53,210,78,132,2,30,1,1
17,50281,53,33175,53,195,102,93,2,30,1,1
18,57222,53,51448,53,177,94,83,2,30,1,1
19,56710,53,57885,53,177,94,83,2,30,1,1
20,48488,443,26104,443,12993,3240,9753,36,24,18,18
21,50691,80,62082,80,4237,3610,627,15,31,8,7
22,50693,80,54649,80,4465,3390,1075,14,30,8,6
23,1940,53,23603,53,210,78,132,2,30,1,1
24,50172,53,37056,53,211,78,133,2,30,1,1
25,38802,53,38802,53,216,90,126,2,30,1,1
26,50281,53,8038,53,195,102,93,2,30,1,1
27,50051,443,1683,443,7912,3269,4643,23,96,12,11
28,52192,443,41129,443,13948,1150,12798,29,15,14,15
29,57886,443,10717,443,33667,25477,8190,60,33,34,26
30,50289,80,7131,80,7166,1086,6080,18,87,9,9
31,58615,443,30095,443,6796,1541,5255,23,121,11,12
32,38551,53,14191,53,168,78,90,2,30,1,1
33,64787,53,29856,53,728,102,626,2,30,1,1
34,34529,443,30445,443,62652,30891,31761,158,381,67,91
35,52184,443,13267,443,13902,3253,10649,26,135,14,12
36,60377,443,34261,443,8678,2974,5704,50,123,27,23
37,59347,80,59347,80,108790,4633,104157,192,15,66,126
38,50077,443,40548,443,7976,3333,4643,23,25,12,11
39,50149,80,2917,80,11574,901,10673,20,46,11,9
40,50004,443,10108,443,8745,2603,6142,19,15,11,8
41,60411,80,48309,80,1589,941,648,11,121,6,5
42,60354,80,7611,80,644,256,388,8,124,5,3
43,60399,80,36861,80,1168,815,353,10,122,6,4
44,60348,80,15161,80,10335,1617,8718,19,124,9,10
45,60420,80,1065,80,14498,6454,8044,24,120,12,12
46,60423,443,61729,443,6849,1103,5746,23,120,12,11
47,60360,443,62556,443,5212,1101,4111,22,123,12,10
48,60363,443,28558,443,5214,1101,4113,22,123,12,10
49,9523,443,27776,443,7199,1410,5789,22,33,11,11
50,63842,45682,31353,45682,4687209,3850148,837061,4974,107,3004,1970
51,60430,443,49199,443,5696,1143,4553,23,119,12,11
52,59878,443,30562,443,3864,2812,1052,17,112,8,9
53,53179,12502,28254,12502,70,70,0,2,7,2,0
54,60414,80,46472,80,5124,3499,1625,14,121,8,6
55,60400,80,41884,80,1704,808,896,10,122,6,4
56,60407,443,49458,443,8328,1611,6717,25,121,14,11
57,60398,80,57820,80,378,192,186,7,122,4,3
58,60339,80,1887,80,35136,7862,27274,53,124,26,27
59,38641,443,31615,443,318,192,126,6,14,4,2
60,54996,53,2476,53,168,86,82,2,31,1,1
61,48066,443,56844,443,62,62,0,1,4,1,0
62,60811,40010,33835,40010,316,136,180,6,5,3,3
63,52103,80,61932,80,68083,5515,62568,90,38,40,50
64,52195,443,11275,443,13948,1150,12798,29,15,14,15
65,50000,53,16568,53,502,115,387,4,52,2,2
66,52193,443,50924,443,13948,1150,12798,29,15,14,15
67,55234,53,5157,53,177,94,83,2,29,1,1
68,50692,80,30484,80,5727,3584,2143,15,31,8,7
69,60370,80,40899,80,1243,769,474,9,123,6,3
70,65401,53,57745,53,235,102,133,2,29,1,1
71,51737,53,3505,53,231,78,153,2,30,1,1
72,50685,80,6959,80,63891,26626,37265,86,34,39,47
73,52191,443,46265,443,7882,810,7072,21,15,9,12
74,54557,80,41721,80,2091,799,1292,10,15,6,4
75,48818,443,11974,443,4167,1669,2498,23,15,12,11
76,64223,53,57211,53,199,94,105,2,30,1,1
77,49245,53,34102,53,376,126,250,2,29,1,1
78,65258,443,17337,443,6043,1568,4475,11,120,4,7
79,64399,53,50659,53,230,110,120,2,29,1,1
80,55234,53,22160,53,177,94,83,2,30,1,1
81,64593,53,56394,53,94,94,0,1,30,1,0
82,56911,53,36658,53,177,94,83,2,31,1,1
83,53977,22266,9645,22266,492,306,186,8,17,5,3
84,50148,80,57004,80,9058,868,8190,18,46,10,8
85,53178,42671,48767,42671,70,70,0,2,8,2,0
86,52181,443,64436,443,7855,815,7040,21,15,9,12
87,65004,53,23515,53,323,94,229,2,30,1,1
88,46265,443,19534,443,173828,9311,164517,245,448,118,127
89,49158,443,27828,443,14490,4227,10263,35,36,19,16
90,33067,53,47200,53,168,78,90,2,30,1,1
91,56911,53,39355,53,177,94,83,2,30,1,1
92,22767,53,22767,53,226,106,120,2,30,1,1
93,52715,443,38027,443,164840,5975,158865,179,122,61,118
94,33845,80,39303,80,424,210,214,7,27,4,3
95,61442,443,19223,443,3403,1891,1512,24,42,13,11
