,"""Source Port""","""Destination Port""","""NAT Source Port""","""NAT Destination Port""",Action,Bytes,"""Bytes Sent""","""Bytes Received""",Packets,"""Elapsed Time (sec)""",pkts_sent,pkts_received
0,51048,445,0,0,drop,70,70,0,1,0,1,0
1,51045,445,0,0,drop,70,70,0,1,0,1,0
2,13394,23,0,0,deny,60,60,0,1,0,1,0
3,61078,57470,0,0,deny,62,62,0,1,0,1,0
4,55725,445,0,0,drop,70,70,0,1,0,1,0
5,55723,445,0,0,drop,70,70,0,1,0,1,0
6,55724,445,0,0,drop,70,70,0,1,0,1,0
7,51125,445,0,0,drop,66,66,0,1,0,1,0
8,51123,445,0,0,drop,66,66,0,1,0,1,0
9,51122,445,0,0,drop,66,66,0,1,0,1,0
10,51121,445,0,0,drop,66,66,0,1,0,1,0
11,51126,445,0,0,drop,66,66,0,1,0,1,0
12,51124,445,0,0,drop,66,66,0,1,0,1,0
13,51120,445,0,0,drop,66,66,0,1,0,1,0
14,51119,445,0,0,drop,66,66,0,1,0,1,0
15,62776,62413,0,0,deny,146,146,0,1,0,1,0
16,51041,445,0,0,drop,70,70,0,1,0,1,0
17,46448,30170,0,0,deny,159,159,0,1,0,1,0
18,10688,25174,0,0,deny,146,146,0,1,0,1,0
19,34086,25174,0,0,deny,62,62,0,1,0,1,0
20,64605,25174,0,0,deny,62,62,0,1,0,1,0
21,51039,445,0,0,drop,70,70,0,1,0,1,0
22,56688,25174,0,0,deny,62,62,0,1,0,1,0
23,57015,42707,0,0,deny,62,62,0,1,0,1,0
24,41213,25174,0,0,deny,62,62,0,1,0,1,0
25,57131,8055,0,0,deny,145,145,0,1,0,1,0
26,45855,25174,0,0,deny,62,62,0,1,0,1,0
27,54483,25174,0,0,deny,66,66,0,1,0,1,0
28,45855,25174,0,0,deny,146,146,0,1,0,1,0
29,49990,62413,0,0,deny,66,66,0,1,0,1,0
30,1582,56205,0,0,deny,62,62,0,1,0,1,0
31,65003,57470,0,0,deny,78,78,0,1,0,1,0
32,55718,445,0,0,drop,70,70,0,1,0,1,0
33,55717,445,0,0,drop,70,70,0,1,0,1,0
34,55713,445,0,0,drop,70,70,0,1,0,1,0
35,55708,445,0,0,drop,70,70,0,1,0,1,0
36,63486,51505,0,0,deny,66,66,0,1,0,1,0
37,54100,37965,0,0,deny,62,62,0,1,0,1,0
38,51034,445,0,0,drop,70,70,0,1,0,1,0
39,51107,445,0,0,drop,66,66,0,1,0,1,0
40,51105,445,0,0,drop,66,66,0,1,0,1,0
41,51104,445,0,0,drop,66,66,0,1,0,1,0
42,1815,22114,0,0,deny,66,66,0,1,0,1,0
43,443,47582,0,0,deny,60,60,0,1,0,1,0
44,443,47582,0,0,deny,85,85,0,1,0,1,0
45,443,47582,0,0,deny,100,100,0,1,0,1,0
46,59126,57470,0,0,deny,66,66,0,1,0,1,0
47,27621,50584,0,0,deny,62,62,0,1,0,1,0
48,52266,50038,0,0,deny,66,66,0,1,0,1,0
49,56456,1433,0,0,deny,60,60,0,1,0,1,0
50,43537,2323,0,0,deny,60,60,0,1,0,1,0
51,40772,15503,0,0,deny,74,74,0,1,0,1,0
52,50594,25174,0,0,deny,66,66,0,1,0,1,0
53,4323,64147,0,0,deny,62,62,0,1,0,1,0
54,55703,445,0,0,drop,70,70,0,1,0,1,0
55,55701,445,0,0,drop,70,70,0,1,0,1,0
56,55696,445,0,0,drop,70,70,0,1,0,1,0
57,55698,445,0,0,drop,70,70,0,1,0,1,0
58,34349,25174,0,0,deny,146,146,0,1,0,1,0
59,39587,22114,0,0,deny,62,62,0,1,0,1,0
60,42542,25174,0,0,deny,62,62,0,1,0,1,0
61,49529,21247,0,0,deny,62,62,0,1,0,1,0
62,64579,37965,0,0,deny,66,66,0,1,0,1,0
63,51021,445,0,0,drop,70,70,0,1,0,1,0
64,53771,57470,0,0,deny,66,66,0,1,0,1,0
65,15701,37965,0,0,deny,146,146,0,1,0,1,0
66,4529,56205,0,0,deny,62,62,0,1,0,1,0
67,45060,37965,0,0,deny,62,62,0,1,0,1,0
68,32554,34729,0,0,deny,62,62,0,1,0,1,0
69,51018,445,0,0,drop,70,70,0,1,0,1,0
70,47913,25174,0,0,deny,146,146,0,1,0,1,0
71,55686,445,0,0,drop,70,70,0,1,0,1,0
72,55683,445,0,0,drop,70,70,0,1,0,1,0
73,55679,445,0,0,drop,70,70,0,1,0,1,0
74,2206,25174,0,0,deny,62,62,0,1,0,1,0
75,64808,62413,0,0,deny,62,62,0,1,0,1,0
